PREGUNTA,SESION,RESPUESTA,AREA
1,1,B,M
2,1,B,M
3,1,A,M
4,1,D,M
5,1,B,M
6,1,D,M
7,1,B,M
8,1,A,M
9,1,A,M
10,1,D,M
11,1,C,M
12,1,D,M
13,1,A,M
14,1,D,M
15,1,D,M
16,1,A,M
17,1,C,M
18,1,A,M
19,1,C,M
20,1,A,M
21,1,A,M
22,1,C,M
23,1,C,M
24,1,A,M
25,1,D,M
26,1,D,L
27,1,C,L
28,1,A,L
29,1,B,L
30,1,A,L
31,1,B,L
32,1,A,L
33,1,D,L
34,1,A,L
35,1,B,L
36,1,B,L
37,1,C,L
38,1,A,L
39,1,C,L
40,1,B,L
41,1,A,L
42,1,D,L
43,1,B,L
44,1,A,L
45,1,A,L
46,1,D,L
47,1,C,L
48,1,B,L
49,1,D,L
50,1,B,L
51,1,A,L
52,1,C,L
53,1,B,L
54,1,A,L
55,1,C,L
56,1,D,L
57,1,B,L
58,1,B,L
59,1,C,L
60,1,C,L
61,1,B,L
62,1,D,L
63,1,B,L
64,1,C,L
65,1,D,L
66,1,C,L
67,1,C,S
68,1,B,S
69,1,B,S
70,1,C,S
71,1,A,S
72,1,C,S
73,1,A,S
74,1,C,S
75,1,C,S
76,1,C,S
77,1,A,S
78,1,B,S
79,1,A,S
80,1,B,S
81,1,D,S
82,1,D,S
83,1,C,S
84,1,C,S
85,1,A,S
86,1,D,S
87,1,A,S
88,1,D,S
89,1,B,S
90,1,D,S
91,1,D,S
92,1,D,N
93,1,B,N
94,1,D,N
95,1,A,N
96,1,A,N
97,1,B,N
98,1,A,N
99,1,D,N
100,1,D,N
101,1,C,N
102,1,B,N
103,1,A,N
104,1,D,N
105,1,C,N
106,1,D,N
107,1,A,N
108,1,D,N
109,1,D,N
110,1,A,N
111,1,B,N
112,1,A,N
113,1,B,N
114,1,A,N
115,1,A,N
116,1,B,N
117,1,D,N
118,1,C,N
119,1,B,N
120,1,A,N
1,2,A,S
2,2,B,S
3,2,B,S
4,2,B,S
5,2,C,S
6,2,B,S
7,2,D,S
8,2,C,S
9,2,C,S
10,2,D,S
11,2,D,S
12,2,A,S
13,2,D,S
14,2,B,S
15,2,B,S
16,2,C,S
17,2,C,S
18,2,C,S
19,2,C,S
20,2,A,S
21,2,A,S
22,2,D,S
23,2,A,S
24,2,C,S
25,2,B,S
26,2,C,M
27,2,D,M
28,2,A,M
29,2,A,M
30,2,B,M
31,2,B,M
32,2,C,M
33,2,C,M
34,2,C,M
35,2,C,M
36,2,C,M
37,2,D,M
38,2,A,M
39,2,B,M
40,2,B,M
41,2,A,M
42,2,A,M
43,2,C,M
44,2,B,M
45,2,B,M
46,2,C,M
47,2,A,M
48,2,D,M
49,2,B,M
50,2,A,M
51,2,A,N
52,2,B,N
53,2,A,N
54,2,B,N
55,2,D,N
56,2,B,N
57,2,B,N
58,2,D,N
59,2,B,N
60,2,A,N
61,2,C,N
62,2,D,N
63,2,A,N
64,2,D,N
65,2,B,N
66,2,B,N
67,2,D,N
68,2,C,N
69,2,C,N
70,2,B,N
71,2,D,N
72,2,B,N
73,2,A,N
74,2,B,N
75,2,D,N
76,2,A,N
77,2,B,N
78,2,D,N
79,2,C,N
80,2,B,I
81,2,A,I
82,2,B,I
83,2,A,I
84,2,B,I
85,2,B,I
86,2,G,I
87,2,H,I
88,2,D,I
89,2,C,I
90,2,C,I
91,2,B,I
92,2,B,I
93,2,B,I
94,2,C,I
95,2,B,I
96,2,C,I
97,2,C,I
98,2,C,I
99,2,C,I
100,2,B,I
101,2,B,I
102,2,A,I
103,2,C,I
104,2,C,I
105,2,A,I
106,2,A,I
107,2,C,I
108,2,B,I
109,2,C,I
110,2,D,I
111,2,D,I
112,2,C,I
113,2,A,I
114,2,C,I
115,2,B,I
116,2,D,I
117,2,C,I
118,2,C,I
119,2,B,I
120,2,D,I
121,2,B,I
122,2,D,I
123,2,A,I
124,2,B,I
